brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,zip_code_encoded,street_encoded
45910.0,0,184500.0,3.0,2.0,0.17,690268.0,Toronto,Ohio,43964.0,1952.0,2018-06-05,129950.0,184500.0
42526.0,0,75000.0,1.0,1.0,0.54,445493.0,East Liverpool,Ohio,43920.0,1221.0,2005-09-19,129000.0,75000.0
86261.0,0,139900.0,3.0,1.0,0.5,455405.0,East Liverpool,Ohio,43920.0,1320.0,2013-01-14,129000.0,139900.0
42526.0,0,18500.0,4.0,3.0,0.07,359113.0,Steubenville,Ohio,43952.0,1617.0,2021-07-20,99900.0,18500.0
45712.0,0,96000.0,2.0,2.0,0.15,184740.0,East Liverpool,Ohio,43920.0,1120.0,2000-10-02,129000.0,96000.0
37253.0,0,144900.0,3.0,2.0,0.17,709230.0,Steubenville,Ohio,43952.0,1348.0,,99900.0,144900.0
36231.0,0,299000.0,4.0,3.0,0.77,1258119.0,East Liverpool,Ohio,43920.0,2502.0,1995-09-25,129000.0,299000.0
42526.0,0,125000.0,3.0,1.0,0.1,690095.0,Steubenville,Ohio,43952.0,1474.0,2021-02-02,99900.0,125000.0
36231.0,0,189900.0,3.0,2.0,1.58,337561.0,East Liverpool,Ohio,43920.0,1548.0,,129000.0,189900.0
10635.0,0,275000.0,4.0,2.0,2.5,376488.0,Lisbon,Ohio,44432.0,3232.0,,139900.0,275000.0
36231.0,0,79900.0,2.0,1.0,0.3,1524088.0,East Liverpool,Ohio,43920.0,858.0,2019-03-01,129000.0,79900.0
19178.0,0,39900.0,3.0,1.0,0.41,696815.0,Toronto,Ohio,43964.0,900.0,,129950.0,39900.0
97036.0,0,59900.0,2.0,1.0,0.12,1271179.0,East Liverpool,Ohio,43920.0,940.0,2013-03-04,129000.0,59900.0
101698.0,0,269900.0,3.0,4.0,1.26,1523825.0,East Liverpool,Ohio,43920.0,2475.0,,129000.0,269900.0
10635.0,0,101000.0,2.0,1.0,1.07,1255644.0,Lisbon,Ohio,44432.0,986.0,2008-02-28,139900.0,101000.0
104440.0,0,85000.0,3.0,2.0,0.22,638736.0,Steubenville,Ohio,43952.0,1084.0,2021-08-31,99900.0,85000.0
